track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
6,7,0x06700,ce139454f8621ddf0a538d1d77f522e1efb51cbcc12a11c5939c93ddd2db5cdc,5.316089,32,47,72
6,8,0x06800,6660397d7a3af596b5488fda4bea3bd54ba4103777163858a3cb7b14aef65268,5.268309,25,45,63
6,9,0x06900,ce85e8b0ef14d010a7584414f2e4cb6b3ee46608bbac3b39127cd6d71192134d,5.229674,17,70,58
6,10,0x06a00,63fed2ea544538247a8618e5412e7bdd0bf48a988b17ae3dd2f31750000d418b,5.637614,18,166,71
6,11,0x06b00,1d9b0a967614549423d677c5be577ec0b37e238d2c15b9deff0f754c62f4ce6a,5.871241,12,182,79
6,12,0x06c00,4546ca1111b590b578855f3907b3cb012c643c42e2cd8ecc292390d0286c5b2c,5.385562,17,55,65
6,13,0x06d00,9abaeb7c6be1e36e8051857f82b6b0739e95cf63684e39a93aa4d7b9aa1247ad,5.281646,33,52,63
6,14,0x06e00,430e34b8cf0a325458b5a20b36e1748c88c9fddd29d7796f5c3b100f3a3c1cc5,5.311408,27,50,66
6,15,0x06f00,d3d7ef3f5fe4d6a3f18f28c7ec626636939722f825376c06a75c147a435eb468,5.440652,13,73,66
7,0,0x07000,35b6a500880c9875d7389297bdc8236cce8c096cde82cfb48e6f6bd2d7627f1e,5.370178,10,129,74
7,1,0x07100,e506ee449c61788bec4abbeeea4f9f99c31480ce80d98c8be4581138784c0331,5.945185,3,117,87
7,2,0x07200,47a89424f3820123d9df095692eea633c9ef67b375c8220bb72465fd8bfca8b3,6.186840,30,89,109
7,3,0x07300,dc0081e13dc1e5c75d8ce07c18f846f263ff5b640e27d4268e57f84d76739d0f,2.997638,119,60,27
7,4,0x07400,53d1c0004eb58a069fded5d7843d34b2de4ed3f3490b070379befdd4352dc9c0,4.114509,13,100,49
7,5,0x07500,e78aed2ab69ecbd88deed0b993e1d6d05d8ed4529fa11404a3589c3352ebbdf3,3.693790,12,105,40
7,6,0x07600,4c548a4bbf2e7b87feecbda8c5e11067c295f549f4dae880cf72be7c9f257c88,3.443810,12,108,36
7,7,0x07700,18687cdc0597762ed9e67fa52029272d8e8e47f22f0f15b4cd16e26cbcf68656,3.537963,18,105,36
7,8,0x07800,b69714bf046e1d8ba4279d0648cd6a9b2d68c42c32a91f9408536bb0af213cf8,3.796172,26,96,43
7,9,0x07900,dd3773a50e5e349e765be9b3607eea17cade51fda041d187f294a3839930ea46,3.398677,23,102,33
7,10,0x07a00,b8728078bb1cfb28b1662e91ee7e23c4f31fc06faf56b816809f1d06278e5a51,3.427570,10,105,36
7,11,0x07b00,a3290020fe89b1ec2a980587ea556491267f2a58b6f7853bf251fbec6e5b3c73,3.540385,11,102,37
7,12,0x07c00,76c2885b99e1e27d7a182285714f51d12dbd51862bf8df0fce42435219ffd0d3,3.620567,12,105,40
